実施 する 	 じっし する
入れ よう 	 いれ よう
出陣 し て 	 しゅつじん し て
つまん 	 つまん
歓迎 する 	 かんげい する
収め 	 おさめ
外れ て 	 はずれ て
たぶらかし 	 たぶらかし
投げ させ た 	 なげ させ た
信用 し て 	 しんよう し て
勧誘 さ れる 	 かんゆう さ れる
憂慮 さ れる べき 	 ゆうりょ さ れる べき
座視 し がたい 	 ざし し がたい
反映 し た 	 はんえい し た
整える 	 ととのえる
生じ た 	 しょうじ た
任せる 	 まかせる
介する 	 かいする
開始 さ れ た 	 かいし さ れ た
解決 さ れる 	 かいけつ さ れる
届き まし た 	 とどき まし た
及び 	 および
企図 	 きと
固まら ず 	 かたまら ず
呼応 する 	 こおう する
攻め られ た 	 せめ られ た
脱出 	 だっしゅつ
運営 さ れ て 	 うんえい さ れ て
通い 出す 	 かよい だす
支え た 	 ささえ た
迎え て 	 むかえ て
特筆 し た 	 とくひつ し た
収める 	 おさめる
支持 する 	 しじ する
宿泊 し た 	 しゅくはく し た
利用 	 りよう
楽しん だ 	 たのしん だ
契約 し て 	 けいやく し て
観る 	 みる
呼称 し て 	 こしょう し て
統括 し て 	 とうかつ し て
成長 し た 	 せいちょう し た
爆発 さ せ た 	 ばくはつ さ せ た
判っ て 	 わかっ て
許可 し 続ける 	 きょか し つづける
委嘱 し た 	 いしょく し た
展示 さ れる 	 てんじ さ れる
圧迫 する 	 あっぱく する
施行 し た 	 しこう し た
減少 	 げんしょう
出会い 	 であい
出す ように なり まし た 	 だす ように なり まし た
迫り 	 せまり
し かけ 	 し かけ
やり返し て 	 やりかえし て
さ れ ず 	 さ れ ず
噴射 する 	 ふんしゃ する
激突 	 げきとつ
融合 し た 	 ゆうごう し た
引き寄せ 	 ひきよせ
破壊 する 	 はかい する
減っ て 	 へっ て
初演 さ れ た 	 しょえん さ れ た
延期 さ れ て 	 えんき さ れ て
上演 さ れ て 	 じょうえん さ れ て
癒す 	 いやす
延期 さ れ 	 えんき さ れ
選出 する 	 せんしゅつ する
こぎつけ た 	 こぎつけ た
休刊 	 きゅうかん
囲ま れ 	 かこま れ
行き届き 	 ゆきとどき
見せつけ て 	 みせつけ て
埋葬 さ れ た 	 まいそう さ れ た
移葬 さ れ た 	 いそう さ れ た
成立 し ない 	 せいりつ し ない
休みし て 	 やすみし て
自覚 し て 	 じかく し て
出会っ て 	 であっ て
説き 	 とき
用いる ように 	 もちいる ように
希望 し て 	 きぼう し て
分散 し た 	 ぶんさん し た
保つ 	 たもつ
助ける 	 たすける
練習 する 	 れんしゅう する
入団 	 にゅうだん
投稿 する 	 とうこう する
試みれ 	 しみれ
成功 する 	 せいこう する
立ち並ん 	 たちならん
封鎖 し た 	 ふうさ し た
認める よう 	 みとめる よう
要求 する 	 ようきゅう する
受け継が れ た 	 うけつが れ た
決済 する 	 けっさい する
同封 さ れ た 	 どうふう さ れ た
記入 し 	 きにゅう し
送金 する 	 そうきん する
知り たく て 	 しり たく て
逃し た 	 のがし た
コメント し 	 こめんと し
合同 し て 	 ごうどう し て
創設 さ れ て 	 そうせつ さ れ て
見 られ ない 	 み られ ない
検討 せ ざるを得 ない 	 けんとう せ ざるをえ ない
申し添え ます 	 もうしそえ ます
関連付け て 	 かんれんづけ て
解釈 する 	 かいしゃく する
頼ま れ て 	 たのま れ て
下り たら 	 おり たら
分から ない ように 	 わから ない ように
強い られ そうだ 	 しい られ そうだ
採 れ た 	 と れ た
通行 する ような 	 つうこう する ような
普及 し て 	 ふきゅう し て
申し入れ た よう です 	 もうしいれ た よう です
回答 でき ませ ん 	 かいとう でき ませ ん
回答 し た 	 かいとう し た
変わら ず 	 かわら ず
追加 し 	 ついか し
増加 し た 	 ぞうか し た
減少 し て 	 げんしょう し て
相談 くださ ませ 	 そうだん くださ ませ
的中 し 	 てきちゅう し
挟み 	 はさみ
見守る 	 みまもる
済む よう 	 すむ よう
祈る 	 いのる
守ら れ た 	 まもら れ た
遭い まし た 	 あい まし た
波及 する 	 はきゅう する
感じ られ ず 	 かんじ られ ず
敵視 し て 	 てきし し て
拡張 し て 	 かくちょう し て
まぶし た 	 まぶし た
頼み まし た 	 たのみ まし た
出さ れ て 	 ださ れ て
服用 し たら 	 ふくよう し たら
選出 さ れる 	 せんしゅつ さ れる
列席 する 	 れっせき する
わかり ませ ん 	 わかり ませ ん
飛行 する 	 ひこう する
崇拝 する 	 すうはい する
劣ら ず 	 おとら ず
愛し て 	 あいし て
振っ て 	 ふっ て
助走 する 	 じょそう する
失墜 	 しっつい
前後 し て 	 ぜんご し て
消し た 	 けし た
殺さ れる 	 ころさ れる
見せ られ た 	 みせ られ た
処刑 さ れ て 	 しょけい さ れ て
吹い て 	 ふい て
予約 でき まし た 	 よやく でき まし た
集中 し て 	 しゅうちゅう し て
指摘 	 してき
慌て て 	 あわて て
交渉 し 	 こうしょう し
約束 し た 	 やくそく し た
囲ま れ た 	 かこま れ た
生かし 	 いかし
越し て 	 こし て
にらみ 	 にらみ
提供 さ れ て 	 ていきょう さ れ て
溜まっ て 	 たまっ て
楽になり まし た 	 らくになり まし た
変え られる 	 かえ られる
かり まし た 	 かり まし た
即位 し 	 そくい し
称し た 	 しょうし た
勤務 	 きんむ
発展 	 はってん
示唆 し て 	 しさ し て
埋め 込ま れ た 	 うめ こま れ た
接触 さ せる 	 せっしょく さ せる
起動 する 	 きどう する
検索 し て 	 けんさく し て
出 かけ て 	 で かけ て
見 まし た 	 み まし た
すき 	 すき
縛ら れ た 	 しばら れ た
解い て 	 とい て
図り 	 はかり
襲いかかる 	 おそいかかる
辿り 	 たどり
照らさ れ た 	 てらさ れ た
降臨 さ せ て 	 こうりん さ せ て
頑張ら なければ なら ない 	 がんばら なければ なら ない
強調 	 きょうちょう
話す ような 	 はなす ような
費やし た 	 ついやし た
寵愛 さ れ 	 ちょうあい さ れ
扱わ れる 	 あつかわ れる
くださっ た 	 くださっ た
頼む 	 たのむ
かけ 直し て 	 かけ なおし て
評価 し 	 ひょうか し
先読み する 	 さきよみ する
倒さ れ 	 たおさ れ
防 げ なく なり 	 ふせ げ なく なり
投げつける 	 なげつける
分ける 	 わける
大別 できる 	 たいべつ できる
増加 し て 	 ぞうか し て
やら せ て 	 やら せ て
見 直す 	 み なおす
準備 	 じゅんび
けん制 する 	 けんせい する
あきらめ て 	 あきらめ て
帰っ たら 	 かえっ たら
落ち て 	 おち て
出版 さ れ た 	 しゅっぱん さ れ た
発展 し た 	 はってん し た
使い やすく 	 つかい やすく
要望 し て 	 ようぼう し て
細分化 し て 	 さいぶんか し て
貸し出す 	 かしだす
先送り する 	 さきおくり する
借りる 	 かりる
育て た 	 そだて た
走ら せ 	 はしら せ
対戦 さ せる 	 たいせん さ せる
封じ た 	 ふうじ た
しても 	 しても
出現 する だろ う 	 しゅつげん する だろ う
卒業 し て 	 そつぎょう し て
戻り 	 もどり
暮らし た そうです 	 くらし た そうです
議論 する 	 ぎろん する
保有 	 ほゆう
通り抜ける 	 とおりぬける
辞任 し て 	 じにん し て
就任 し まし た 	 しゅうにん し まし た
はぐれ て 	 はぐれ て
契約 でき まし た 	 けいやく でき まし た
移動 し て 	 いどう し て
信じ 込ん 	 しん じこん
認定 さ れ て 	 にんてい さ れ て
生息 する 	 せいそく する
共用 できる 	 きょうよう できる
消し飛ぶ 	 けしとぶ
連れ られ て 	 つれ られ て
気づか れ ない 	 きづか れ ない
さ せ られ 	 さ せ られ
応対 し た 	 おうたい し た
帰宅 	 きたく
寄せ られ 	 よせ られ
進め 	 すすめ
進め られ た 	 すすめ られ た
廃車 さ れ 	 はいしゃ さ れ
営業 し て 	 えいぎょう し て
おい た 	 おい た
残 せ て 	 のこ せ て
浮かべ た 	 うかべ た
硬化 さ せ た 	 こうか さ せ た
決断 	 けつだん
気に入っ ちゃい ます 	 きにいっ ちゃい ます
辞し 	 じし
混迷 し 	 こんめい し
出し抜か れ た 	 だしぬか れ た
つこ う 	 つこ う
並行 し て 	 へいこう し て
勃興 し 	 ぼっこう し
図る べき だ 	 はかる べき だ
阻む 	 はばむ
拠れ 	 これ
落とせ 	 おとせ
積み上げ て 	 つみあげ て
つかみ 	 つかみ
とれ ませ ん 	 とれ ませ ん
献金 し なさい 	 けんきん し なさい
長け て 	 たけ て
売ら れ て 	 うら れ て
行き ませ ん 	 いき ませ ん
ひかえる 	 ひかえる
渡しし て 	 わたしし て
相談 	 そうだん
締結 し 	 ていけつ し
砲撃 し て 	 ほうげき し て
かけ た 	 かけ た
託し て 	 たくし て
で て 	 で て
流行 し 	 りゅうこう し
挿入 し て 	 そうにゅう し て
崩れ 	 くずれ
つき ます 	 つき ます
交付 さ れる 	 こうふ さ れる
養わ れる 	 やしなわ れる
食べ やすい 	 たべ やすい
委ね られ た 	 ゆだね られ た
協議 さ れ ます 	 きょうぎ さ れ ます
訪ねる 	 たずねる
照れ 	 てれ
恋する 	 こいする
制作 さ れ た 	 せいさく さ れ た
統合 し て 	 とうごう し て
沿い 	 ぞい
修練 する 	 しゅうれん する
強化 	 きょうか
着手 し 	 ちゃくしゅ し
開通 済み 	 かいつう ずみ
追い 	 おい
感じ まし た 	 かんじ まし た
聞き取 れる 	 ききと れる
創設 さ れ 	 そうせつ さ れ
競う 	 きそう
酷似 し て 	 こくじ し て
成立 する 	 せいりつ する
意味 し て 	 いみ し て
言わ なかっ た 	 いわ なかっ た
務め 	 つとめ
投稿 さ れ た 	 とうこう さ れ た
控え させ て 	 ひかえ させ て
殺す 	 ころす
逃がし て 	 にがし て
兼ねる 	 かねる
点灯 さ せ 続け て 	 てんとう さ せ つづけ て
プレイ する 	 ぷれい する
装着 する 	 そうちゃく する
付属 し て 	 ふぞく し て
選択 できる 	 せんたく できる
厳選 し て 	 げんせん し て
取り寄せ て 	 とりよせ て
味わ える 	 あじわ える
所属 せ ず 	 しょぞく せ ず
フォロー し て 	 ふぉろー し て
進ま ない 	 すすま ない
楽し める 	 たのし める
特定 し た 	 とくてい し た
いける 	 いける
説明 す べき でしょ う 	 せつめい す べき でしょ う
がっかりし て 	 がっかりし て
湿っ た 	 しめっ た
入ら ない 	 はいら ない
撮影 さ れ て 	 さつえい さ れ て
移植 さ れ て 	 いしょく さ れ て
救援 し た 	 きゅうえん し た
想起 さ せる 	 そうき さ せる
深化 し 	 しんか し
完成 する 	 かんせい する
望 める 	 のぞ める
広げ た 	 ひろげ た
渋滞 する 	 じゅうたい する
引っ越し て 	 ひっこし て
行け ませ ん 	 いけ ませ ん
下し た 	 くだし た
敗退 し 	 はいたい し
演じる 	 えんじる
応対 し て 	 おうたい し て
指定 さ れる 	 してい さ れる
建築 でき ず 	 けんちく でき ず
加速 する 	 かそく する
覆 せる 	 くつがえ せる
譲渡 し た 	 じょうと し た
雇用 さ れ た 	 こよう さ れ た
要請 し て 	 ようせい し て
着手 さ せ なけれ 	 ちゃくしゅ さ せ なけれ
確保 でき ない 	 かくほ でき ない
足り ない 	 たり ない
攻撃 し 	 こうげき し
いたる 	 いたる
渡河 し 	 とか し
拠っ て 	 よっ て
追い込み 	 おいこみ
降伏 さ せ た 	 こうふく さ せ た
応用 する 	 おうよう する
期待 できる 	 きたい できる
開設 し 	 かいせつ し
納め た 	 おさめ た
コミュニケーション する 	 こみゅにけーしょん する
学 べ ます 	 まな べ ます
動かし て 	 うごかし て
